messageKey,,en,de,es,fr,pt,ru,zh_CN
loadout.stat.name.emergency_air,Emergency air,Emergency air,Notluft,Aire de emergencia,Air d’urgence,Ar de emergência,Аварийный запас воздуха,Emergency air
loadout.stat.name.energylink_overload_power_usage,Energylink Overload Power Usage,Energylink Overload Power Usage,Energylink-Überlastungsstromverbrauch,Uso de energía de sobrecarga de Energylink,Utilisation de la puissance de surcharge d’Energylink,Uso de energia de sobrecarga do Energylink,Расход энергии Энерголинком в режиме перегрузки,Energylink Overload Power Usage
loadout.stat.name.energylink_recharge_time,Energylink Recharge Time,Energylink Recharge Time,Energylink-Aufladezeit,Tiempo de recarga de Energylink,Durée de recharge du lien énergétique,Tempo de recarga do Energylink,Время зарядки Энерголинка,Energylink Recharge Time
loadout.stat.name.explosive_resist,Explosive resist,Explosive resist,Sprengstoffresist,Resistencia explosiva,Résistance explosive,Resistência explosiva,Сопр. взрывному урону,Explosive resist
loadout.stat.name.fire_mode,Fire mode,Fire mode,Feuermodus,Modo fuego,Mode incendie,Modo de Tiro,Режим стрельбы,Fire mode
loadout.stat.name.footsteps_audible_range,Footsteps audible range,Footsteps audible range,Schritte hörbarer Bereich,Rango audible de pasos,Plage audible des pas,Alcance audível dos passos,Радиус слышимости шагов,Footsteps audible range
loadout.stat.name.goods_capacity,Goods capacity,Goods capacity,Warenkapazität,Capacidad de mercancías,Capacité des marchandises,Capacidade de mercadorias,Вместимость товаров,Goods capacity
loadout.stat.name.handling,Handling,Handling,Handhabung,Manejo,Gestion,Manuseio,Обращение,Handling
loadout.stat.name.headshot_damage,Headshot damage,Headshot damage,Kopfschussschaden,Daño por disparo en la cabeza,Dommages par balle à la tête,Dano de Tiro na Cabeça,Урон от выстрела в голову,Headshot damage
loadout.stat.name.health,Health,Health,Gesundheit,Salud,Santé,Saúde,Здоровье,Health
loadout.stat.name.hip_fire_accuracy,Hip fire accuracy,Hip fire accuracy,Hüftfeuergenauigkeit,Precisión de tiro de cadera,Précision du tir à la hanche,Precisão de Tiro sem Mira,Точность стрельбы от бедра,Hip fire accuracy
loadout.stat.name.kinetic_resist,Kinetic resist,Kinetic resist,Kinetischer Widerstand,Resistencia cinética,Résistance cinétique,Resistência cinética,Сопр. кинетическому урону,Kinetic resist
loadout.stat.name.lateral_speed,Lateral Speed,Lateral Speed,Quergeschwindigkeit,Velocidad lateral,Vitesse latérale,Velocidade Lateral,Скорость стрейфа,Lateral Speed
loadout.stat.name.lights_power_usage,Lights Power Usage,Lights Power Usage,Lichtverbrauch,Uso de energía de las luces,Consommation d’énergie des lumières,Uso de Energia da Lanterna,Расход энергии фонариком,Lights Power Usage
loadout.stat.name.los_analysis_range,Line of sight analysis range,Line of sight analysis range,Sichtlinienanalysebereich,Rango de análisis de línea de visión,Plage d’analyse de la ligne de visée,Alcance de Análise em Linha de Visão,Дальность анализа,Line of sight analysis range
loadout.stat.name.los_analysis_time,Line of sight analysis time,Line of sight analysis time,Sichtlinienanalysezeit,Tiempo de análisis de línea de visión,Temps d’analyse de la ligne de visée,Tempo de Análise em Linha de Visão,Время анализа цели,Line of sight analysis time
loadout.stat.name.magazine_size,Magazine size,Magazine size,Magazingröße,Tamaño de la revista,Taille du magazine,Tamanho do Pente,Размер магазина,Magazine size
loadout.stat.name.mass,Mass,Mass,Masse,Masa,Masse,Massa,Масса,Mass
loadout.stat.name.modification_slots,Modification slots,Modification slots,Modifikations-Slots,Ranuras de modificación,Emplacements de modification,Slots de modificação,Слоты для модов,Modification slots
loadout.stat.name.night_vision,Night vision,Night vision,Nachtsicht,Visión nocturna,Vision nocturne,Visão Noturna,Ночное видение,Night vision
loadout.stat.name.nightvision_power_usage,Nightvision Power Usage,Nightvision Power Usage,Nightvision-Stromverbrauch,Uso de energía de visión nocturna,Consommation d’énergie de la vision nocturne,Uso de Energia da Visão Noturna,Расход энергии ночным видением,Nightvision Power Usage
loadout.stat.name.plasma_resist,Plasma resist,Plasma resist,Plasmaresist,Resistencia de plasma,Résistance au plasma,Resistência a Plasma,Сопр. урону от плазмы,Plasma resist
loadout.stat.name.primary_slots,Primary weapons,Primary weapons,Primärwaffen,Armas principales,Armes principales,Armas primárias,Основное оружие,Primary weapons
loadout.stat.name.rate_of_fire,Rate of fire,Rate of fire,Feuerrate,Tasa de fuego,Cadence de tir,Cadência de Tiro,Скорострельность,Rate of fire
loadout.stat.name.reload_speed,Reload speed,Reload speed,Nachladegeschwindigkeit,Velocidad de recarga,Vitesse de rechargement,Velocidade de recarregamento,Время перезарядки,Reload speed
loadout.stat.name.remove_movement_speed_penalty,No movement speed penalty,No movement speed penalty,Keine Strafe für die Bewegungsgeschwindigkeit,Sin penalización de velocidad de movimiento,Aucune pénalité de vitesse de déplacement,Sem Penalidade de Velocidade de Movimento,Нет штрафа к скорости передвижения,No movement speed penalty
loadout.stat.name.reserve_ammo,Reserve ammo,Reserve ammo,Munition reservieren,Reservar munición,Réserver des munitions,Munição Reserva,Боекомплект,Reserve ammo
loadout.stat.name.scope,Scope,Scope,Scope,Alcance,Portée,Mira Telescópica,Прицел,Scope
loadout.stat.name.secondary_slots,Secondary weapons,Secondary weapons,Sekundärwaffen,Armas secundarias,Armes secondaires,Armas secundárias,Дополнительное оружие,Secondary weapons
loadout.stat.name.shield_power_usage,Shield Power Usage,Shield Power Usage,Schildstromverbrauch,Uso de energía del escudo,Consommation d’énergie du bouclier,Uso de Energia do Escudo,Расход энергии щитом,Shield Power Usage
loadout.stat.name.shield_regen,Shield regen,Shield regen,Schildregen,Regeneración del escudo,Régénération du bouclier,Regeneração do Escudo,Регенерация щита,Shield regen
loadout.stat.name.shield_strength,Shield strength,Shield strength,Schildstärke,Fuerza del escudo,Force du bouclier,Força do Escudo,Объем щита,Shield strength
loadout.stat.name.silenced_inside,Silenced inside,Silenced inside,Innen stummgeschaltet,Silenciado en interiores,Silence à l’intérieur,Silenciado Interno,Без звука внутри,Silenced inside
loadout.stat.name.silenced_outside,Silenced outside,Silenced outside,Außerhalb stummgeschaltet,Silenciado en exteriores,Silence à l’extérieur,Silenciado Externo,Без звука снаружи,Silenced outside
loadout.stat.name.sprint_duration,Sprint duration,Sprint duration,Sprintdauer,Duración del Sprint,Durée du sprint,Duração da Sprint,Продолжительность спринта,Sprint duration
loadout.stat.name.sprint_speed,Sprint Speed,Sprint Speed,Sprintgeschwindigkeit,Velocidad de Sprint,Vitesse de sprint,Velocidade de Corrida,Скорость бега,Sprint Speed
loadout.stat.name.sprint_speed_carbine_shotgun,Sprint Speed Carbine/Shotgun,Sprint Speed Carbine/Shotgun,Sprint-Schnellkarabiner/Schrotflinte,Velocidad Sprint Carabina/Escopeta,Carabine/Fusil à vitesse de sprint,Corrida com Carabina/Escopeta,Бег с карабином/дробовиком,Sprint Speed Carbine/Shotgun
loadout.stat.name.sprint_speed_pistol,Sprint Speed Pistol,Sprint Speed Pistol,Sprintgeschwindigkeitspistole,Velocidad Sprint Pistola,Pistolet de vitesse de sprint,Corrida com Pistola,Бег с пистолетом,Sprint Speed Pistol
loadout.stat.name.sprint_speed_rifle,Sprint Speed Rifle,Sprint Speed Rifle,Sprint-Geschwindigkeitsgewehr,Velocidad Sprint Rifle,Fusil de vitesse de sprint,Corrida com Rifle,Бег с винтовкой,Sprint Speed Rifle
loadout.stat.name.sprint_speed_sniper_launcher,Sprint Speed Sniper/Launcher,Sprint Speed Sniper/Launcher,Sprint Speed Sniper/Launcher,Velocidad Sprint Sniper/Lanzador,Sniper/lanceur de vitesse de sprint,Corrida com Sniper/Lançador,Бег со снайперкой/ракетницей,Sprint Speed Sniper/Launcher
loadout.stat.name.stability,Stability,Stability,Stabilität,Estabilidad,Stabilité,Estabilidade,Устойчивость,Stability
loadout.stat.name.stowed_reloading,Stowed reloading,Stowed reloading,Verstautes Nachladen,Recarga almacenada,Rechargement rangé,Recarga Guardada,Перезарядка в кобуре,Stowed reloading
loadout.stat.name.thermal_resist,Thermal resist,Thermal resist,Thermoresist,Resistencia térmica,Résistance thermique,Resistência Térmica,Сопр. термическому урону,Thermal resist
loadout.stat.name.tool_energy_drain_multiplier,Tool energy drain multiplier,Tool energy drain multiplier,Multiplikator für Werkzeugenergieverbrauch,Multiplicador de consumo de energía de la herramienta,Multiplicateur de drain d’énergie de l’outil,Multiplicador de drenagem de energia da ferramenta,Множитель расхода энергии инструмента,Tool energy drain multiplier
loadout.stat.name.type,Type,Type,Typ,Tipo,Type,Tipo,Тип,Type
loadout.stat.name.walk_speed,Walk Speed,Walk Speed,Gehgeschwindigkeit,Velocidad al caminar,Vitesse de marche,Velocidade de caminhada,Скорость ходьбы,Walk Speed
loadout.stat.name.walk_speed_carbine_shotgun,Walk Speed Carbine/Shotgun,Walk Speed Carbine/Shotgun,Gehschneller Karabiner/Schrotflinte,Velocidad al caminar Carabina/escopeta,Carabine/Fusil à vitesse de marche,Caminhada com Carabina/Escopeta,Скорость ходьбы с карабином/дробовиком,Walk Speed Carbine/Shotgun
loadout.stat.name.walk_speed_pistol,Walk Speed Pistol,Walk Speed Pistol,Walk-Speed-Pistole,Velocidad al caminar Pistola,Pistolet de vitesse de marche,Caminhada com Pistola,Скорость ходьбы с пистолетом,Walk Speed Pistol
loadout.stat.name.walk_speed_rifle,Walk Speed Rifle,Walk Speed Rifle,Gehgeschwindigkeitsgewehr,Velocidad al caminar Rifle,Fusil de vitesse de marche,Caminhada com Rifle,Скорость ходьбы с винтовкой,Walk Speed Rifle
loadout.stat.name.walk_speed_sniper_launcher,Walk Speed Sniper/Launcher,Walk Speed Sniper/Launcher,Walk Speed Sniper/Launcher,Velocidad al caminar Lanzador/francotirador,Sniper/lanceur de vitesse de marche,Caminhada com Sniper/Lançador,Скорость хотьбы со снайперкой/ракетницей,Walk Speed Sniper/Launcher
loadout.stat.name.geneticsampler_power_usage,Genetic sampler power usage,Genetic sampler power usage,Genetische Sampler -Leistungsverbrauch,Uso de energía de muestras genéticas,Utilisation de puissance d’échantillonneur génétique,Uso de Energia de Amostrador Genético,Расход энергии сборщиком генетических образцов,Genetic sampler power usage
loadout.stat.name.profilescanner_power_usage,Profile scanner power usage,Profile scanner power usage,Profil -Scanner -Stromverbrauch,Uso de energía del escáner de perfil,Utilisation d’alimentation du scanner de profil,Uso de Energia do Scanner de Perfil,Расход энергии анализатором профиля,Profile scanner power usage
loadout.stat.name.energylink_recharge_rate,Energylink recharge rate,Energylink recharge rate,EnergyLink -Aufladungsrate,Tasa de recarga de enlaces energéticos,Taux de recharge de l’énergie,Taxa de recarga Energylink,Скорость заряда энерголинка,Energylink recharge rate
loadout.stat.name.nightvision_power_usage,Nightvision power usage,Nightvision power usage,Nightvision-Stromverbrauch,Uso de energía visión nocturna,Utilisation de la puissance de nuit,Uso da Energia da Visão Noturna,Расход энергии ночным зрением,Nightvision power usage
loadout.stat.name.energylink_discharge_duration,Energylink discharge duration,Energylink discharge duration,EnergyLink -Entladungsdauer,Duración de descarga de enlaces energéticos,Durée de décharge d’énergie,Duração da descarga de energia do link de energia,Время разряда энерголинка,Energylink discharge duration
loadout.stat.name.profilescanner_scan_duration,Profile scanner scan duration,Profile scanner scan duration,Profil -Scanner -Scandauer,Duración de escaneo del escáner de perfil,Durée du scanner de profil,Duração da Varredura do Scanner de Perfil,Время сканирования профиля,Profile scanner scan duration
loadout.stat.name.profilescanner_clone_duration,Profile scanner clone duration,Profile scanner clone duration,Profilscanner -Klondauer,Duración del clon del escáner de perfil,Durée du clone du scanner de profil,Duração da Clonagem do Scanner de Perfil,Время клонирования профиля,Profile scanner clone duration
loadout.stat.name.energylink_discharge_rate,Energylink discharge rate,Energylink discharge rate,EnergyLink -Entladungsrate,Tasa de descarga de enlaces energéticos,Taux de décharge de l’énergie,Taxa de Descarga Energylink,Скорость разряда энерголинка,Energylink discharge rate
loadout.stat.name.battery_recharge_duration,Battery recharge duration,Battery recharge duration,Batterieaufladungsdauer,Duración de recarga de batería,Durée de recharge de la batterie,Duração da Recarga da Bateria,Время зарядки аккумулятора,Battery recharge duration
loadout.stat.name.draw_speed,Draw speed,Draw speed,Geschwindigkeit zeichnen,Velocidad de desenfundado,Dessiner,Tempo para Saque,Скорость доставания,Draw speed
loadout.stat.name.stow_speed,Stow speed,Stow speed,Staugeschwindigkeit,Velocidad de enfundado,Vitesse de rangement,Tempo de coldreamento,Скорость убирания,Stow speed
loadout.stat.name.ads_speed,ADS Speed,ADS Speed,Anzeigengeschwindigkeit,Velocidad de ADS,Vitesse d’annonces,Tempo para Mira,Скорость прицеливания,ADS Speed
loadout.stat.name.jump_assist_battery_consumption,Jump assist recharge battery consumption,Jump assist recharge battery consumption,Batterieverbrauch der Sprunghilfe,Consumo de batería de recarga de asistencia de salto,Sauter Assist Recharge Battery Consommation,Consumo de Bateria de Assistência de Salto,Расход заряда батареи,Jump assist recharge battery consumption
loadout.stat.name.jump_assist_duration,Jump assist duration,Jump assist duration,Sprungassistentendauer,Duración de asistencia de salto,Durée de saut,Duração de assistência ao salto,Длительность прыжка,Jump assist duration
loadout.stat.name.jump_assist_recharge,Jump assist recharge duration,Jump assist recharge duration,Aufladen der Sprunghilfe,Duración de recarga de asistencia de salto,Durée de recharge de saut,Jump Assist Recarrege Duration,Кулдаун для прыжков,Jump assist recharge duration
loadout.stat.name.melee_shield_damage,Melee shield damage,Melee shield damage,Nahkampfschildschaden,Daño del escudo cuerpo a cuerpo,Dégâts du bouclier de mêlée,Dano de Escudo Corpo a Corpo,Урон по щиту в ближнем бою,Melee shield damage
loadout.stat.name.melee_health_damage,Melee health damage,Melee health damage,Nahkampfschaden,Daño a la salud cuerpo a cuerpo,Dommages causés par la santé en mêlée,Dano de Saúde Corpo a Corpo,Урон здоровью в ближнем бою,Melee health damage
