messageKey,,en,de,es,fr,pt,ru,zh_CN
blueprint.horizons.type.corrosive_shell,Corrosive Shell,Corrosive Shell,Korrosionsgranate,Proyectil Corrosivo,Coquille corrosive,Projétil Corrosivo,Разъедающие снаряды,Corrosive Shell
blueprint.horizons.type.dazzle_shell,Dazzle Shell,Dazzle Shell,Blendgranate,Proyectil Deslumbrante,Coquille d’éblouissement,Projétil Cegante,Ослепляющие снаряды,Dazzle Shell
blueprint.horizons.type.deep_charge,Deep Charge,Deep Charge,Tiefenladung,Carga intensa,Charge profonde,Carga Intensa,Заряд повышенной мощности,Deep Charge
blueprint.horizons.type.deep_plating,Deep Plating,Deep Plating,Tiefenüberzug,Enchapado profundo,Placage profond,Revestimento Espesso,Утолщённая броня,Deep Plating
blueprint.horizons.type.dirty_drive_tuning,Dirty Drive Tuning,Dirty Drive Tuning,Aggressives Antriebstuning,Motor sucio,Digne de lecteur sale,Ajuste de Motor Sujo,«Грязная» донастройка,Dirty Drive Tuning
blueprint.horizons.type.dispersal_field,Dispersal Field,Dispersal Field,Streuungsfeld,Campo de dispersión,Champ de dispersion,Campo de Dispersão,Рассеивающее поле,Dispersal Field
blueprint.horizons.type.double_braced,Double Braced,Double Braced,Doppelt versteift,Doble puntal,Doublé,Braçadeira Dupla,Двойная прочность,Double Braced
blueprint.horizons.type.double_shot,Double Shot,Double Shot,Doppelschuss,Doble disparo,Coup double,Tiro duplo,Двойной выстрел,Double Shot
blueprint.horizons.type.drag_drives,Drag Drives,Drag Drives,Drag-Antriebe,Motor de arrastre,Drag drives,Motores de Arrasto,Ускорители,Drag Drives
blueprint.horizons.type.drag_munition,Drag Munition (Seeker Only),Drag Munition (Seeker Only),Zug-munition (nur für Sucher),Munición de Arrastre (solo guiado),Drag Munition (Seeker Only),Munição de arrasto (Buscador Somente),Замедляющие боеприпасы (только с самонаведением),Drag Munition (Seeker Only)
blueprint.horizons.type.drive_distributors,Drive Distributors,Drive Distributors,Antriebsdistributoren,Distribuidores de motor,Drive des distributeurs,Distribuidores do Motor,Распределители тяги,Drive Distributors
blueprint.horizons.type.drive_strengthening,Drive Strengthening,Drive Strengthening,Antriebsstärkung,Fortalecimiento de motor,Renforcement de la conduite,Reforçamento do Motor,Усиление двигателя,Drive Strengthening
blueprint.horizons.type.efficient_weapon,Efficient Weapon,Efficient Weapon,Waffeneffizienz,Arma eficiente,Arme efficace,Arma Eficiente,Эффективное орудие,Efficient Weapon
blueprint.horizons.type.emissive_munitions,Emissive Munitions,Emissive Munitions,Emissionsmunition,Municiones emisivas,Munitions émissives,Munições Emissivas,Эмиссионные припасы,Emissive Munitions
blueprint.horizons.type.engine_focused,Engine Focused,Engine Focused,Antriebsfokussiert,Centrado en el motor,Axé sur le moteur,Distribuidor de Energia com Foco nos Motores,Распределитель питания на двигатель,Engine Focused
blueprint.horizons.type.engineer,Engineer,Engineer,Ingenieur,Ingeniero,Ingénieur,Engenheiro,Инженер,Engineer
blueprint.horizons.type.engineered_detailed_surface_scanner_v1,Engineered Detailed Surface Scanner V1,Engineered Detailed Surface Scanner V1,Entwickelter Detail-Oberflächenscanner V1,Escáner de superficie detallado de ingeniería V1,Scanner de surface détaillé d’origine v1,Scanner de Superfície Detalhada Modificado V1,Полностью оборудованный подробный сканер поверхностей V1,Engineered Detailed Surface Scanner V1
blueprint.horizons.type.engineered_fsd_v1,Engineered FSD V1,Engineered FSD V1,Entwickelter Frameshiftantrieb V1,FSD V1 pre-diseñado,FSD V1 d’ingénierie,MDD Modificado V1,Полностью оборудованный FSD V1,Engineered FSD V1
blueprint.horizons.type.engineered_missile_rack_v1,Engineered Missile Rack V1,Engineered Missile Rack V1,Entwickeltes Raketengestell V1,Lanzamisiles Modificado V1,Rack de missiles d’ingénierie V1,Estante de Mísseis Modificado V1,Блок ракет с самонаведением V1,Engineered Missile Rack V1
blueprint.horizons.type.enhanced_low_power_shields,Enhanced Low Power Shields,Enhanced Low Power Shields,Verbesserte Niedrigenergieschilde,Escudos de baja potencia mejorados,Boucliers de faible puissance améliorés,Escudos de Baixo Consumo Aprimorados,Усиленные энергосберегающие щиты,Enhanced Low Power Shields
blueprint.horizons.type.enzyme_missile_rack,Enzyme Missile Rack,Enzyme Missile Rack,Enzymraketengestell,Lanzamisiles de Enzimas,Support de missile enzymatique,Estante de Mísseis Enzimáticos,Блок энзимных ракет,Enzyme Missile Rack
blueprint.horizons.type.expanded_fsd_interdictor_capture_arc,Expanded FSD Interdictor Capture Arc,Expanded FSD Interdictor Capture Arc,Erweiterter Erfassungsbereich des Frameshiftunterbrechers,Interdictor Gran Angular,Arc de capture interdictor FSD élargi,Arco de captura do Interditor de MDD expandido,Перехватчик FSD с расширенной дугой захвата,Expanded FSD Interdictor Capture Arc
blueprint.horizons.type.expanded_probe_scanning_radius,Expanded Probe Scanning Radius,Expanded Probe Scanning Radius,Erweiterter Sonden-Scanradius,Radio de escaneo de sonda expandida,Rayon de balayage de sonde élargi,Expansão do Raio de Escaneamento da Sonda,Увеличение радиуса сканирования зондов,Expanded Probe Scanning Radius
blueprint.horizons.type.fast_charge,Fast Charge,Fast Charge,Schnellladen,Carga rápida,Charge rapide,Carga rápida,Быстрый заряд,Fast Charge
blueprint.horizons.type.fast_scanner,Fast Scanner,Fast Scanner,Schnellscanner,Escáner rápido,Scanner rapide,Scanner rápido,Быстрый сканер,Fast Scanner
blueprint.horizons.type.faster_fsd_boot_sequence,Faster FSD Boot Sequence,Faster FSD Boot Sequence,Schnellere FSA -Bootsequenz,Secuencia de inicio MDD rápida,Séquence de démarrage FSD plus rapide,Sequência de Inicialização do MDD Mais Rápida,Последовательность быстрого запуска FSD,Faster FSD Boot Sequence
blueprint.horizons.type.feedback_cascade,Feedback Cascade,Feedback Cascade,Rückkopplungskaskade,Retroalimentación en cascada,Cascade de rétroaction,Cascata de Realimentação,Ответный залп,Feedback Cascade
blueprint.horizons.type.flow_control,Flow Control,Flow Control,Flusssteuerung,Control de flujo,Contrôle de flux,Controle de Fluxo,Контроль интенсивности,Flow Control
blueprint.horizons.type.focused_weapon,Focused Weapon,Focused Weapon,Waffenfokussiert,Arma concentrada,Arme ciblée,Arma com Foco,Точное орудие,Focused Weapon
blueprint.horizons.type.force_block,Force Block,Force Block,Kraftblock,Bloqueo cinético,Bloc de force,Bloqueio Cinético,Усиленная блокировка,Force Block
blueprint.horizons.type.force_shell,Force Shell,Force Shell,Druckschock,Proyectil de fuerza,Coquille de force,Projétil de Força,Усиленные снаряды,Force Shell
blueprint.horizons.type.fsd_interrupt,FSD Interrupt (Dumbfire Only),FSD Interrupt (Dumbfire Only),FSA-Unterbrechung (nur Haltungsfeuer),Interrupción MDD (solo no guiado),Interruption FSD (Fired uniquement),Interrupção do FSD (somente não-guiada),Помеха для FSD (только неуправляемые),FSD Interrupt (Dumbfire Only)
blueprint.horizons.type.guardian_fsd_booster,Guardian FSD Booster,Guardian FSD Booster,Guardian-Frameshiftantrieb-Booster,Potenciador de MDD guardián,Guardian FSD Booster,Potencializador do Motor de Distorção de Fase Guardian,Ускоритель FSD Стражей,Guardian FSD Booster
blueprint.horizons.type.guardian_gauss_cannon_fixed_medium,Guardian Gauss Cannon Fixed Medium,Guardian Gauss Cannon Fixed Medium,Guardian-Gausskanone medium fest,Cañón Gauss Guardián Medio fijo,Guardian Gauss Cannon Fixed Medium,Canhão Gauss Guardian (Fixa) (Classe:2),Пушка Гаусса Стражей (2 класс ср. фикс.),Guardian Gauss Cannon Fixed Medium
blueprint.horizons.type.guardian_gauss_cannon_fixed_small,Guardian Gauss Cannon Fixed Small,Guardian Gauss Cannon Fixed Small,Guardian-Gausskanone klein fest,Cañón Gauss Guardián fijo pequeño,Guardian Gauss Cannon Fixed Small,Canhão Gauss Guardian (Fixa) (Classe:1),Пушка Гаусса Стражей (1 класс ср. фикс.),Guardian Gauss Cannon Fixed Small
blueprint.horizons.type.guardian_hull_reinforcement,Guardian Hull Reinforcement,Guardian Hull Reinforcement,Guardian-Rumpfhüllenverstärkung,Refuerzo estructural guardián,Renforcement de la coque gardienne,Reforço de Casco Guardian,Набор для усиления корпуса Стражей,Guardian Hull Reinforcement
blueprint.horizons.type.guardian_hybrid_power_plant,Guardian Hybrid Power Plant,Guardian Hybrid Power Plant,Guardian Hybrid Kraftwerk,Núcleo de energía Híbrida guardián,Centrale hybride gardienne,Gerador de Energia Híbrido Guardian,Гибридная силовая установка Стражей,Guardian Hybrid Power Plant
blueprint.horizons.type.guardian_module_reinforcement,Guardian Module Reinforcement,Guardian Module Reinforcement,Guardian-Modulverstärkung,Refuerzo de módulo guardián,Renforcement du module gardien,Pacote de Reforço de Módulos Guardian,Набор для усиления модуля Стражей,Guardian Module Reinforcement
blueprint.horizons.type.guardian_plasma_charger_fixed_large,Guardian Plasma Charger Fixed Large,Guardian Plasma Charger Fixed Large,Guardian-Plasmalader groß fest,Cargador de plasma guardián fijo grande,Chargeur de plasma gardien fixe,Carregador de Plasma Guardian (Fixa) (Classe: 3),Плазменная пушка Стражей (3 класс бол. фикс.),Guardian Plasma Charger Fixed Large
blueprint.horizons.type.guardian_plasma_charger_fixed_medium,Guardian Plasma Charger Fixed Medium,Guardian Plasma Charger Fixed Medium,Guardian-Plasmalader Medium fest,Cargador de plasma guardián medio fijo,Médium fixe du chargeur de plasma gardien,Carregador de Plasma Guardian (Fixa) (Classe: 2),Плазменная пушка Стражей (2 класс ср. фикс.),Guardian Plasma Charger Fixed Medium
blueprint.horizons.type.guardian_plasma_charger_fixed_small,Guardian Plasma Charger Fixed Small,Guardian Plasma Charger Fixed Small,Guardian-Plasmalader klein fest,Cargador de plasma guardián fijo pequeño,Chargeur de plasma gardien fixé petit,Carregador de Plasma Guardian (Fixa) (Classe: 1),Плазменная пушка Стражей (1 класс мал. фикс.),Guardian Plasma Charger Fixed Small
blueprint.horizons.type.guardian_plasma_charger_turreted_large,Guardian Plasma Charger Turreted Large,Guardian Plasma Charger Turreted Large,Guardian-Plasmalader groß Turm,Cargador de plasma guardián Torreta grande,Chargeur de plasma gardien à tourelle,Carregador de Plasma Guardian (Torreta) (Classe: 3),Плазменная пушка Стражей (3 класс бол. турель),Guardian Plasma Charger Turreted Large
blueprint.horizons.type.guardian_plasma_charger_turreted_medium,Guardian Plasma Charger Turreted Medium,Guardian Plasma Charger Turreted Medium,Guardian-Plasmalader medium Turm,Cargador de plasma guardián Torrecido Medio,Plasma Guardian Medium à tourelle,Carregador de Plasma Guardian (Torreta) (Classe: 2),Плазменная пушка Стражей (2 класс ср. турель),Guardian Plasma Charger Turreted Medium
blueprint.horizons.type.guardian_plasma_charger_turreted_small,Guardian Plasma Charger Turreted Small,Guardian Plasma Charger Turreted Small,Guardian-Plasmalader klein Turm,Cargador de plasma guardián Torreta pequeña,Chargeur de plasma gardien à tourelle petite,Carregador de Plasma Guardian (Torreta) (Classe: 1),Плазменная пушка Стражей (1 класс мал. турель),Guardian Plasma Charger Turreted Small
blueprint.horizons.type.guardian_power_distributor,Guardian Power Distributor,Guardian Power Distributor,Guardian Energieverteiler,Distribuidor de energía guardián,Guardian Power Distributeur,Distribuidor de Energia Guardian,Гибридный распределитель питания Стражей,Guardian Power Distributor
blueprint.horizons.type.guardian_shard_cannon_fixed_large,Guardian Shard Cannon Fixed Large,Guardian Shard Cannon Fixed Large,Guardian Splitterkanone groß fest,Cañón de esquirlas guardián fijado,Guardian Shard Cannon Fixed Large,Canhão de Fragmentos Guardian (Fixa) (Classe: 3),Осколочное орудие Стражей (3 класс бол. фикс.),Guardian Shard Cannon Fixed Large
blueprint.horizons.type.guardian_shard_cannon_fixed_medium,Guardian Shard Cannon Fixed Medium,Guardian Shard Cannon Fixed Medium,Guardian Splitterkanone medium fest,Cañón de esquirlas guardián Medio fijo,Guardian Shard Cannon Fixed Medium,Canhão de Fragmentos Guardian (Fixa) (Classe: 2),Осколочное орудие Стражей (2 класс ср. фикс.),Guardian Shard Cannon Fixed Medium
blueprint.horizons.type.guardian_shard_cannon_fixed_small,Guardian Shard Cannon Fixed Small,Guardian Shard Cannon Fixed Small,Guardian Splitterkanone klein fest,Cañón de esquirlas guardián fijo pequeño,Guardian Shard Cannon Fixed Small,Canhão de Fragmentos Guardian (Fixa) (Classe: 1),Осколочное орудие Стражей (1 класс мал. фикс.),Guardian Shard Cannon Fixed Small
blueprint.horizons.type.guardian_shard_cannon_turreted_large,Guardian Shard Cannon Turreted Large,Guardian Shard Cannon Turreted Large,Guardian Splitterkanone groß Turm,Cañón de esquirlas guardián torreta grande,Guardian Shard Cannon a été gros,Canhão de Fragmentos Guardian (Torreta) (Classe: 3),Осколочное орудие Стражей (3 класс бол. турель),Guardian Shard Cannon Turreted Large
blueprint.horizons.type.guardian_shard_cannon_turreted_medium,Guardian Shard Cannon Turreted Medium,Guardian Shard Cannon Turreted Medium,Guardian Splitterkanone medium Turm,Cañón de esquirlas guardián torreta Medium,Guardian Shard Cannon Turreted Medium,Canhão de Fragmentos Guardian (Torreta) (Classe: 2),Осколочное орудие Стражей (2 класс ср. турель),Guardian Shard Cannon Turreted Medium
blueprint.horizons.type.guardian_shard_cannon_turreted_small,Guardian Shard Cannon Turreted Small,Guardian Shard Cannon Turreted Small,Guardian Splitterkanone klein fest,Cañón de esquirlas guardián torreta pequeño,Guardian Shard Cannon Turred Small,Canhão de Fragmentos Guardian (Torreta) (Classe: 1),Осколочное орудие Стражей (1 класс мал. турель),Guardian Shard Cannon Turreted Small
blueprint.horizons.type.guardian_shield_reinforcement,Guardian Shield Reinforcement,Guardian Shield Reinforcement,Guardian-Schildverstärkung,Refuerzo de Escudo guardián,Renforcement du bouclier gardien,"Pacote de Reforço de Escudo Guardian ",Набор для усиления щита Стражей,Guardian Shield Reinforcement
blueprint.horizons.type.heavy_duty,Heavy Duty,Heavy Duty,Schwerlast,Alta Resistencia,À toute épreuve,Blindagem Pesada,Надёжный усилитель,Heavy Duty
blueprint.horizons.type.heavy_duty_hull_reinforcement,Heavy Duty Hull Reinforcement,Heavy Duty Hull Reinforcement,Schwere Rumpfhüllenverstärkung,Refuerzo estructural de Alta Resistencia,Renforcement de la coque lourde,Reforço de Casco Pesado,Надёжное усиление корпуса,Heavy Duty Hull Reinforcement
blueprint.horizons.type.hi_cap,Hi Cap,Hi Cap,Erhöhte Kapazität,Alta capacidad,HI CAP,Alta Capacitância,Высокая ёмкость,Hi Cap
blueprint.horizons.type.high_capacity_magazine,High Capacity Magazine,High Capacity Magazine,Hochleistungsmagazin,Cargador de alta capacidad,Magazine de grande capacité,Cartucho de Alta Capacidade,Вместительный магазин,High Capacity Magazine
blueprint.horizons.type.high_charge_capacity,High Charge Capacity,High Charge Capacity,Hochkondesatoren,Alta capacidad de carga,Capacité de charge élevée,Alta capacidade de Carga,Высокоёмкий распределитель питания,High Charge Capacity
blueprint.horizons.type.high_yield_shell,High Yield Shell,High Yield Shell,Hochleistungssprengkopf,Proyectil de Alto rendimiento,Coquille à haut rendement,Projétil de Alto Rendimento,Снаряд большой мощности,High Yield Shell
blueprint.horizons.type.incendiary_rounds,Incendiary Rounds,Incendiary Rounds,Brandgranaten,Munición incendiaria,Rondes incendiaires,Projétil Incendiário,Зажигательные припасы,Incendiary Rounds
blueprint.horizons.type.increased_fsd_range,Increased FSD Range,Increased FSD Range,Erhöhte FSA-Reichweite,Aumento del rango de MDD,Augmentation de la plage FSD,Alcance de MDD Aumentado,Увеличенная дальность FSD,Increased FSD Range
blueprint.horizons.type.inertial_impact,Inertial Impact,Inertial Impact,Trägheitsaufprall,Impacto inercial,Impact inertique,Impacto inercial,Инерционный удар,Inertial Impact
blueprint.horizons.type.ion_disruptor,Ion Disruptor,Ion Disruptor,Ionen-Disruptor,Disruptor de iones,Perturbateur ionique,Disruptor de Íons,Ионный дестабилизатор,Ion Disruptor
blueprint.horizons.type.javelin_fighter,XG8 Javelin Fighter,XG8 Javelin Fighter,XG8 Javelin Fighter,Caza Javelin XG8,Fighter Javelin XG8,XG8 Javelin (Caça) (Lançador de Fragmentos),Истребитель XG8 Javelin,XG8 Javelin Fighter
blueprint.horizons.type.kinetic_resistant,Kinetic Resistant,Kinetic Resistant,Kinetisch resistent,Resistente a cinético,Cinétique,Resistência Cinética,Противокинетический усилитель,Kinetic Resistant
blueprint.horizons.type.kinetic_resistant_hull_reinforcement,Kinetic Resistant Hull Reinforcement,Kinetic Resistant Hull Reinforcement,Kinetikresistente Rumpfhüllenverstärkung,Refuerzo estructural resistente a cinético,Renforcement de la coque résistante cinétique,Reforço de Casco de Resistência Cinética,Противокинетическое усиление корпуса,Kinetic Resistant Hull Reinforcement
blueprint.horizons.type.kinetic_resistant_shields,Kinetic Resistant Shields,Kinetic Resistant Shields,Kinetisch resistente Schilde,Escudos de resistencia cinética,Boucliers résistants cinétiques,Escudos de Resistência Cinética,Противокинетические щиты,Kinetic Resistant Shields
blueprint.horizons.type.lance_fighter,XG9 Lance Fighter,XG9 Lance Fighter,XG9 Lance Fighter,Caza LANCE XG9,Fighter Lance XG9,XG9 Lance (Caça) (Canhão de Foco Gauss),Истребитель XG9 Lance,XG9 Lance Fighter
blueprint.horizons.type.layered_plating,Layered Plating,Layered Plating,Schichtüberzug,Enchapado en capas,Placage en couches,Revestimento em Camadas,Многослойная броня,Layered Plating
blueprint.horizons.type.light_weight_scanner,Light Weight Scanner,Light Weight Scanner,Leichter Scanner,Escáner ligero,Scanner léger,Scanner Leve,Облегченный сканер,Light Weight Scanner
blueprint.horizons.type.lightweight,Lightweight,Lightweight,Leichtgewicht,Ligero,Poids léger,Leve,Облегчённый,Lightweight
blueprint.horizons.type.lightweight_hull_reinforcement,Lightweight Hull Reinforcement,Lightweight Hull Reinforcement,Leichtgewicht-Rumpfhüllenverstärkung,Refuerzo estructural aligerado,Renforcement léger de la coque,Reforço de Casco Leve,Лёгкое усиление корпуса,Lightweight Hull Reinforcement
blueprint.horizons.type.lightweight_mount,Lightweight Mount,Lightweight Mount,Leichtgewichtsgeschütz,Soporte ligero,Support léger,Montagem leve,Легкое крепление,Lightweight Mount
blueprint.horizons.type.lo_draw,Lo Draw,Lo Draw,Geringer Stromverbrauch,Bajo Consumo,LO PRÉSION,Baixo Consumo,Пониженное потребление,Lo Draw
blueprint.horizons.type.long_range_fsd_interdictor,Long Range FSD Interdictor,Long Range FSD Interdictor,Langstrecken -FSA -Unterbrecher,Interdictor MDD de largo alcance,Interditor FSD à longue portée,Interditor de longo alcance FSD,Перехватчик FSD большой дальности,Long Range FSD Interdictor
blueprint.horizons.type.long_range_scanner,Long Range Scanner,Long Range Scanner,Ferndistanzscanner,Escáner de largo alcance,Scanner à longue portée,Scanner de longo alcance,Сканер дальнего действия,Long Range Scanner
blueprint.horizons.type.long_range_weapon,Long Range Weapon,Long Range Weapon,Ferndistanzwaffe,Arma de largo alcance,Arme à longue portée,Arma de longo alcance,Дальнобойное орудие,Long Range Weapon
blueprint.horizons.type.low_emissions,Low Emissions,Low Emissions,Niedrige Emissionen,Bajas emisiones,Émissions faibles,Gerador de Energia de Baixa Emissão,Силовая установка с малым излучением,Low Emissions
blueprint.horizons.type.mass_lock_munition,Mass Lock Munition,Mass Lock Munition,Masseblockierende Munition,Munición de bloqueo de masa,Munition de masse,Munição Mass Lock,Боеприпасы с гравитационным захватом,Mass Lock Munition
blueprint.horizons.type.mass_manager,Mass Manager,Mass Manager,Massemanager,Gestión de masa,Directeur de masse,Gestor de Massa,Распределитель гравитации,Mass Manager
blueprint.horizons.type.meta_alloy_hull_reinforcement,Meta Alloy Hull Reinforcement,Meta Alloy Hull Reinforcement,Schwere Rumpfhüllenverstärkung,Refuerzo estructural de aleaciones metálicas,Renfort de coque en alliage de méta,Reforço de casco com meta-ligas,Метасплавное усиление корпуса,Meta Alloy Hull Reinforcement
blueprint.horizons.type.modified_gauss_cannon_fixed_medium,Modified Gauss Cannon Fixed Medium,Modified Gauss Cannon Fixed Medium,Modifizierte Gausskanone fest Medium,Cañón gauss fijo mediano modificado,Médium fixe à canon Gauss modifié,Canhão Gauss Modificado (Fixo) (Classe:2),Модифицированная пушка Гаусса Стражей (2 класс ср. фикс),Modified Gauss Cannon Fixed Medium
blueprint.horizons.type.modified_gauss_cannon_fixed_small,Modified Gauss Cannon Fixed Small,Modified Gauss Cannon Fixed Small,Modifizierter Gauß Cannon fest klein,Cañón gauss fijo pequeño modificado,Canon Gauss modifié fixe petit,Canhão Gauss Modificado (Fixo) (Classe:1),Модифицированная пушка Гаусса Стражей (1 класс мал. фикс),Modified Gauss Cannon Fixed Small
blueprint.horizons.type.modified_mining_laser_fixed_small,Modified Mining Laser Fixed Small,Modified Mining Laser Fixed Small,Modifizierter Bergbaulaser fest klein,Láser de mineria modificado fijo pequeño,Laser minier modifié fixe petit,Laser de Mineração Modificado Fixo Pequeno,Улучшенный проходочный лазер (1 класс фикс.),Modified Mining Laser Fixed Small
blueprint.horizons.type.modified_shard_cannon_fixed_medium,Modified Shard Cannon Fixed Medium,Modified Shard Cannon Fixed Medium,Modifizierte Splitterkanone fest Medium,Cañon de esquirlas modificado fijo mediano,Médium fixe du canon à rayons modifiés,Canhão de Fragmentos Modificado (Fixo) (Classe: 2),Модифицированное осколочное орудие Стражей (2 класс ср. фикс.),Modified Shard Cannon Fixed Medium
blueprint.horizons.type.modified_shard_cannon_fixed_small,Modified Shard Cannon Fixed Small,Modified Shard Cannon Fixed Small,Modifizierte Splitterkanone fest klein,Cañon de esquirlas modificado fijo pequeño,Canon d’éclats modifié fixé petit,Canhão de Fragmentos Modificado (Fixo) (Classe: 1),Модифицированное осколочное орудие Стражей (1 класс мал. фикс.),Modified Shard Cannon Fixed Small
blueprint.horizons.type.monstered,Monstered,Monstered,Monströs,A lo bestia,Monté,Parrudo,Монстрация,Monstered
blueprint.horizons.type.multi_servos,Multi Servos,Multi Servos,Multi-Servos,Servos Multi,Multi-servos,Servos Múltiplos,Сервосистема,Multi Servos
blueprint.horizons.type.multi_weave,Multi Weave,Multi Weave,Multigewebe,Multi-Tejido,Tissage multiples,Rede Múltipla,Мультипрошивка,Multi Weave
blueprint.horizons.type.overcharged,Overcharged,Overcharged,Überladen,Sobrecargado,Surchargé,Sobrecarregado,Усиленная силовая установка,Overcharged
blueprint.horizons.type.overcharged_weapon,Overcharged Weapon,Overcharged Weapon,Überladungswaffe,Arma sobrecargada,Arme surfacturée,Arma Sobrecarregada,Усиленное орудие,Overcharged Weapon
blueprint.horizons.type.overload_munitions,Overload Munitions,Overload Munitions,Überlastungsmunition,Municiones de sobrecarga,Munitions de surcharge,Munição Sobrecarregada,Вызывающие перезагрузку боеприпасы,Overload Munitions
blueprint.horizons.type.oversized,Oversized,Oversized,Übergröße,De gran tamaño,Énorme,Reforçado,Сверхразмер,Oversized
blueprint.horizons.type.penetrator_munitions,Penetrator Munitions (Dumbfire Only),Penetrator Munitions (Dumbfire Only),Durchschlagsmunition (nur Direktschuss),Munición penetradora,Pénétrator Munitions (DumbFire uniquement),Munições penetradoras (somente não-guiada),Бронебойные боеголовки (только неуправляемые),Penetrator Munitions (Dumbfire Only)
blueprint.horizons.type.penetrator_payload,Penetrator Payload,Penetrator Payload,Durchschlagssprengkopf,Carga útil del penetrador,Pénétrator charge utile,Carga útil do penetrador,Бронебойные снаряды,Penetrator Payload
blueprint.horizons.type.phasing_sequence,Phasing Sequence,Phasing Sequence,Phasensequenz,Secuencia de fase,Séquence de phasage,Sequência Faseada,Последовательность фазирования,Phasing Sequence
blueprint.horizons.type.plasma_slug,Plasma Slug,Plasma Slug,Plasmaprojektil,Proyectil de plasma,Limace de plasma,Projétil de Plasma,Плазменный рельсовый снаряд,Plasma Slug
blueprint.horizons.type.radiant_canister,Radiant Canister,Radiant Canister,Strahlender Kanister,Cartucho radiactivo,Cartouche rayonnante,Canister Radiante,Светящаяся кассета,Radiant Canister
blueprint.horizons.type.rapid_charge,Rapid Charge,Rapid Charge,Schnelle Aufladung,Carga rápida,Charge rapide,Banco de Célula de Escudo de Recarga Rápida,Щитонакопитель быстрой зарядки,Rapid Charge
blueprint.horizons.type.rapid_fire_modification,Rapid Fire Modification,Rapid Fire Modification,Schnellfeuermodifikation,Modificación de disparo rápido,Modification rapide du feu,Modificação de Disparo Rápido,Улучшение скорострельности,Rapid Fire Modification
blueprint.horizons.type.recycling_cells,Recycling Cells,Recycling Cells,Recyclingzellen,Células de reciclaje,Recyclage des cellules,Células de Reciclagem,Рециркуляционная ячейка,Recycling Cells
blueprint.horizons.type.reflective_plating,Reflective Plating,Reflective Plating,Reflektorüberzug,Recubrimiento reflectante,Placage réfléchissant,Revestimento Reflexivo,Отражающая броня,Reflective Plating
blueprint.horizons.type.regeneration_sequence,Regeneration Sequence,Regeneration Sequence,Regenerationssequenz,Secuencia de regeneración,Séquence de régénération,Sequência de Regeneração,Последовательность восстановления,Regeneration Sequence
