messageKey,,en,de,es,fr,pt,ru,zh_CN
colonisation.buildable.installation_security_station,Security station (medium),,,Estación de Seguridad (mediano),,,Станция службы безопасности (средняя),Security station (medium)
colonisation.buildable.installation_government,Government (medium),,,Gobierno (mediano),,,Правительственная (средняя),Government (medium)
colonisation.buildable.installation_medical,Medical (medium),,,Médico (mediano),,,Медицинская (средняя),Medical (medium)
colonisation.buildable.installation_research_station,Research station (medium),,,Estación de Investigación (mediano),,,Исследовательская станция (средняя),Research station (medium)
colonisation.buildable.installation_tourist,Tourist (medium),,,Turístico (mediano),,,Туристическая (средняя),Tourist (medium)
colonisation.buildable.installation_space_bar,Space bar (medium),,,Bar (mediano),,,Бар (средний),Space bar (medium)
colonisation.buildable.planetary_port_civilian_tier_1,Civilian (small),,,Civil (pequeño),,,Гражданская станция (малая),Civilian (small)
colonisation.buildable.planetary_port_industrial,Industrial (small),,,Industrial (pequeño),,,Промышленная станция (малая),Industrial (small)
colonisation.buildable.planetary_port_scientific,Scientific (small),,,Científica (pequeño),,,Научная станция (малая),Scientific (small)
colonisation.buildable.planetary_port_civilian_tier_3,Civilian (large),,,Civil (grande),,,Планетарный порт (большой),Civilian (large)
colonisation.buildable.settlement_agriculture_tier_1_small,Agriculture (small),,,Agricultura (pequeño),,, Сельское хозяйство (малое),Agriculture (small)
colonisation.buildable.settlement_agriculture_tier_1_medium,Agriculture (medium),,,Agricultura (mediano),,,Сельское хозяйство (среднее),Agriculture (medium)
colonisation.buildable.settlement_agriculture_tier_2_large,Agriculture (large),,,Agricultura (grande),,,Сельское хозяйство (большое),Agriculture (large)
colonisation.buildable.settlement_extraction_tier_1_small,Extraction (small),,,Extracción (pequeño),,,Добыча ископаемых (малое),Extraction (small)
colonisation.buildable.settlement_extraction_tier_1_medium,Extraction (medium),,,Extracción (mediano),,,Добыча ископаемых (среднее),Extraction (medium)
colonisation.buildable.settlement_extraction_tier_2_large,Extraction (large),,,Extracción (grande),,,Добыча ископаемых (большое),Extraction (large)
colonisation.buildable.settlement_industrial_tier_1_small,Industrial (small),,,Industrial (pequeño),,,Промышленность (малое),Industrial (small)
colonisation.buildable.settlement_industrial_tier_1_medium,Industrial (medium),,,Industrial (mediano),,,Промышленность (среднее),Industrial (medium)
colonisation.buildable.settlement_industrial_tier_2_large,Industrial (large),,,Industrial (grande),,,Промышленность (большое),Industrial (large)
colonisation.buildable.settlement_military_tier_1_small,Military (small),,,Militar (pequeño),,,Военное дело (малое),Military (small)
colonisation.buildable.settlement_military_tier_1_medium,Military (medium),,,Militar (mediano),,,Военное дело (среднее),Military (medium)
colonisation.buildable.settlement_military_tier_2_large,Military (large),,,Militar (grande),,,Военное дело (большое),Military (large)
colonisation.buildable.settlement_research_bio_tier_1_small,Research bio (small),,,Investigación Biológica (pequeño),,,Биоисследования (малое),Research bio (small)
colonisation.buildable.settlement_research_bio_tier_1_medium,Research bio (medium),,,Investigación Biológica (mediano),,,Биоисследования (среднее),Research bio (medium)
colonisation.buildable.settlement_research_bio_tier_2_large,Research bio (large),,,Investigación Biológica (grande),,,Биоисследования (большое),Research bio (large)
colonisation.buildable.settlement_tourism_tier_1_small,Tourism (small),,,Turismo (pequeño),,,Туризм (малое),Tourism (small)
colonisation.buildable.settlement_tourism_tier_1_medium,Tourism (medium),,,Turismo (mediano),,,Туризм (среднее),Tourism (medium)
colonisation.buildable.settlement_tourism_tier_2_large,Tourism (large),,,Turismo (grande),,,Туризм (большое),Tourism (large)
colonisation.buildable.hub_extraction,Extraction (medium),,,Extracción (mediano),,,Добыча ископаемых (средний),Extraction (medium)
colonisation.buildable.hub_civilian,Civilian (medium),,,Civil (mediano),,,Гражданские (средний),Civilian (medium)
colonisation.buildable.hub_exploration,Exploration (medium),,,Exploración (mediano),,,Исследование (средний),Exploration (medium)
colonisation.buildable.hub_outpost,Outpost (medium),,,Base Espacial (mediano),,,Станция (средний),Outpost (medium)
colonisation.buildable.hub_scientific,Scientific (medium),,,Científico (mediano),,,Научные (средний),Scientific (medium)
colonisation.buildable.hub_military,Military (medium),,,Militar (mediano),,,Военное дело (средний),Military (medium)
colonisation.buildable.hub_refinery,Refinery (medium),,,Refinería (mediano),,,Очиститель (средний),Refinery (medium)
colonisation.buildable.hub_high_tech,High tech (medium),,,Alta Tecnología (mediano),,,Технологии (средний),High tech (medium)
colonisation.buildable.hub_industrial,Industrial (medium),,,Industrial (mediano),,,Промышленность (средний),Industrial (medium)
