messageKey,,en,de,es,fr,pt,ru,zh_CN
url.scheme.registration.text,This app can handle url’s starting with edomh://. These links can be used to share data between users. You can create these links in the relevant places.,This app can handle url’s starting with edomh://. These links can be used to share data between users. You can create these links in the relevant places.,"Diese App kann mit edomh:// mit URLs handhaben. Diese Links können verwendet werden, um Daten zwischen Benutzern zu teilen. Sie können diese Links an den entsprechenden Stellen erstellen.",Esta aplicación puede manejar las URL que comienza con edomh://. Estos enlaces se pueden usar para compartir datos entre los usuarios. Puede crear estos enlaces en los lugares relevantes.,Cette application peut gérer les URL commençant par edomh://. Ces liens peuvent être utilisés pour partager des données entre utilisateurs. Vous pouvez créer ces liens aux endroits pertinents.,Este aplicativo pode lidar com o URL começando com o edomh://. Esses links podem ser usados para compartilhar dados entre usuários. Você pode criar esses links nos lugares relevantes.,"Это приложение может обрабатывать URL, начинающееся с edomh://. Эти ссылки могут использоваться для обмена данными между пользователями. Вы можете создать эти ссылки в соответствующих местах.",This app can handle url’s starting with edomh://. These links can be used to share data between users. You can create these links in the relevant places.
url.scheme.registration.text2,If you would like to use this functionality you can register this application. You will receive a UAC prompt as this requires administrative access. You can always (un)register this application under Settings later.,If you would like to use this functionality you can register this application. You will receive a UAC prompt as this requires administrative access. You can always (un)register this application under Settings later.,"Wenn Sie diese Funktionalität verwenden möchten, können Sie diese Anwendung registrieren. Sie erhalten eine UAC -Eingabeaufforderung, da dieser administrative Zugriff erfordert. Sie können diese Anwendung immer (UN) später unter Einstellungen registrieren.","Si desea utilizar esta funcionalidad, puede registrar esta aplicación. Recibirá un mensaje UAC ya que esto requiere acceso administrativo. Siempre puede dar de alta/baja esta aplicación en Ajustes más adelante.","Si vous souhaitez utiliser cette fonctionnalité, vous pouvez enregistrer cette application. Vous recevrez une invite UAC car cela nécessite un accès administrateur. Vous pouvez toujours (dés)enregistrer cette application ultérieurement dans Paramètres.","Se você deseja usar essa funcionalidade, pode registrar este aplicativo. Você receberá um prompt da UAC, pois isso requer acesso administrativo. Você sempre pode (un) registrar este aplicativo em Configurações posteriormente.","Если вы хотите использовать эту функциональность, вы можете зарегистрировать это приложение. Вы получите подсказку UAC, так как это требует административного доступа. Вы всегда можете (не) зарегистрировать это приложение в условиях настройки позже.",If you would like to use this functionality you can register this application. You will receive a UAC prompt as this requires administrative access. You can always (un)register this application under Settings later.
search.filter.all,All (default),All (default),Alle (Standard),Todo (predeterminado),Tout (par défaut),All (padrão),Все (по умолчанию),All (default)
search.filter.all_engineer,All engineer unlocking,All engineer unlocking,Alle Ingenieure werden freigeschaltet,Desbloqueo de todos los ingenieros,Déverrouillage des ingénieurs,Desbloqueio de todos os engenheiros,Разблокировка всех инженеров,All engineer unlocking
search.filter.all_engineer_blueprint,All engineer unlocking + blueprint,All engineer unlocking + blueprint,Alle Ingenieure entsperren + Blaupause,Desbloqueo de todos los ingenieros + plano,Déverrouillage des ingénieurs + plans,Desbloqueio de todos os engenheiros + planta,Разблокировка всех инженеров + чертеж,All engineer unlocking + blueprint
search.filter.all_with_stock,All with stock,All with stock,Alle mit Aktien,Todos con stock,En stock,Todos com estoque,Все в наличии,All with stock
search.filter.blueprint,Blueprint,Blueprint,Blaupause,Plano,Plans,Blueprint,Чертежи,Blueprint
search.filter.favourites,Favourites,Favourites,Favoriten,Favoritos,Favoris,Favoritos,Избранные,Favourites
search.filter.irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevante,Non pertinents,Irrelevante,Нерелевантные,Irrelevant
search.filter.irrelevant_with_stock,Irrelevant with stock,Irrelevant with stock,Irrelevant mit Aktien,Irrelevante con stock,Non pertinents en stock,Irrelevante com estoque,Нерелевантные в наличии,Irrelevant with stock
search.filter.placeholder,Show materials,Show materials,Materialien anzeigen,Mostrar materiales,Afficher les matériaux,Mostrar materiais,Показать материалы,Show materials
search.filter.prohibited,Prohibited,Prohibited,Verboten,Prohibido,Illégaux,Proibida,Запрещенные,Prohibited
search.filter.required_engineer,Only required engineer unlocking,Only required engineer unlocking,Nur erforderliches Entsperren durch Ingenieure,Solo se requiere desbloqueo del ingeniero,Déverrouillage de l’ingénieur nécessaire uniquement,Somente desbloqueio de engenheiro necessário,Требуется только разблокировка инженера,Only required engineer unlocking
search.filter.required_engineer_blueprint,Only required engineer unlocking + blueprint,Only required engineer unlocking + blueprint,Nur erforderliches Entsperren des Ingenieurs + Blaupause,Solo se requiere desbloqueo de ingeniero + plano,Déverrouillage de l’ingénieur nécessaire uniquement + plans,Somente desbloqueio de engenheiro obrigatório + planta,Требуется только разблокировка инженера + чертеж,Only required engineer unlocking + blueprint
search.filter.raw,Raw,Raw,,Materias Primas,Bruts,,Сырые материалы,Raw
search.filter.encoded,Encoded,Encoded,,Codificados,Encodés,,Зашифрованные материалы,Encoded
search.filter.manufactured,Manufactured,Manufactured,,Manufacturados,Fabriqués,,Производственные материалы,Manufactured
search.filter.guardian,Guardian,Guardian,,Guardián,Guardian,,Материалы Стражей,Guardian
search.filter.thargoid,Thargoid,Thargoid,,Thargoide,Thargoid,,Материалы Таргоидов,Thargoid
search.filter.human,Human,Human,,Humano,Humain,,Материалы Человеческие,Human
search.sort.alphabetical,Alphabetical (default),Alphabetical (default),Alphabetisch (Standard),Alfabético (predeterminado),Alphabétique (par défaut),Alfabético (padrão),По алфавиту (по умолчанию),Alphabetical (default)
search.sort.engineer_blueprint_irrelevant,"Engineer unlocking, blueprint, irrelevant","Engineer unlocking, blueprint, irrelevant","Entsperrung durch Ingenieur, Blaupause, irrelevant","Desbloqueo del ingeniero, plano, irrelevante","Déverrouillage d’ingénieur, plan, non pertinent","Desbloqueio do engenheiro, planta, irrelevante","Разблокировка инженера, чертеж, нерелевантно","Engineer unlocking, blueprint, irrelevant"
search.sort.placeholder,Sort materials,Sort materials,Materialien sortieren,Clasificar materiales,Trier les matériaux,Classificar materiais,Сортировать материалы,Sort materials
search.sort.quantity,Quantity,Quantity,Menge,Cantidad,Quantité,Quantidade,Количество,Quantity
search.sort.relevant_irrelevant,"Relevant, irrelevant","Relevant, irrelevant","Relevant, irrelevant","Relevante, irrelevante","Pertinent, non pertinent","Relevante, irrelevante","Релевантные, нерелевантные","Relevant, irrelevant"
search.text.placeholder,Search,Search,Suchen,Buscar,Rechercher,Pesquisa,Поиск,Search
search.filter.fleetcarrier,Fleet carrier,Fleet carrier,Flottenträger,Portanaves,Porte-vaisseaux,Porta-Frota,Флотоносец,Fleet carrier
search.filter.backpack,Backpack,Backpack,Rucksack,Mochila,Sac à dos,Mochila,Рюкзак,Backpack
search.sort.quantity_ship,Ship quantity,Ship quantity,Schiffsmenge,Cantidad de naves,Quantité dans le vaisseau,Quantidade de navio,Количество на корабле,Ship quantity
search.sort.quantity_fleetcarrier,Fleetcarrier quantity,Fleetcarrier quantity,FleetCarrier Menge,Cantidad de Portanaves,Quantité dans le porte-vaisseaux,Quantidade FleetCarrier,Количество на флотоносце,Fleetcarrier quantity
search.sort.quantity_total,Total quantity,Total quantity,Gesamtmenge,Cantidad total,Quantité totale,Quantidade total,Общая численность,Total quantity
search.filter.ship,Ship,Ship,Schiff,Nave,Vaisseau,Navio,Судно,Ship
search.filter.not_on_wishlist,Not or more than on wishlist,Not or more than on wishlist,Nicht oder mehr als auf der Wunschliste,No o más que en la lista de deseos,Pas sur la liste de souhaits ou en surplus,Não ou mais do que na lista de desejos,"Не или больше, чем в списке желаний",Not or more than on wishlist
search.grouping.category,Category (default),Category (default),Kategorie (Standard),Categoría (predeterminado),Catégorie (par défaut),Categoria (padrão),Категория (по умолчанию),Category (default)
search.grouping.none,None,None,Keiner,Ninguna,Aucun,Nenhum,Никто,None
search.grouping.placeholder,Group materials,Group materials,Gruppenmaterialien,Grupo de Materiales,Groupe de matériaux,Materiais de grupo,Групповые материалы,Group materials
search.sort.grade,Grade,Grade,Klasse,Calificación,Classe,Grau do Item,Оценка,Grade
search.sort.quantity_required,Quantity required,Quantity required,Erforderliche Menge,Cantidad requerida,Quantité nécessaire,Quantidade Requerida,Требуемое количество,Quantity required
notification.type.irrelevant_point,Point to irrelevant material,Point to irrelevant material,Auf irrelevantes Material hinweisen,Señalar material irrelevante,Indiquer un matériau non pertinent,Apontar para material irrelevante,При указывании на ненужные материалы,Point to irrelevant material
notification.type.wishlist_point,Point to wishlist material,Point to wishlist material,Zeigen Sie auf Wunschlistematerial,Señalar material de lista de deseos,Indiquer un matériau de la liste de souhaits,Apontar para o material da lista de desejos,При указывании на материалы из вишлиста,Point to wishlist material
notification.type.relevant_point,Point to relevant material,Point to relevant material,Auf relevantes Material hinweisen,Señalar material relevante,Indiquer un matériau pertinent,Apontar para o material relevante,При указывании на используемые (полезные) материалы,Point to relevant material
notification.type.irrelevant_pickup,Irrelevant Pickup,Irrelevant Pickup,Irrelevantes Pickup,Recolección de irrelevantes,Collecte non pertinente,Pickup Irrelevante,Поднял ненужное (на продажу,Irrelevant Pickup
notification.type.wishlist_pickup,Wishlist Pickup,Wishlist Pickup,Wunschliste Abholung,Recogida de la lista de deseos,Collecte de la liste de souhaits,Pickup da lista de desejos,Подобрал из списка желаемого,Wishlist Pickup
notification.type.trade,Trade,Trade,Handeln,Comercio,Commerce,Troca,Торговля,Trade
notification.type.import,Import,Import,Importieren,Importar,Importer,Importar,Импорт,Import
notification.type.copy,Copy,Copy,Kopieren,Copiar,Copier,Cópia de,Копия,Copy
notification.type.error,Error,Error,Fehler,Error,Erreur,Erro,Ошибка,Error
notification.type.success,Success,Success,Erfolg,Éxito,Succès,Sucesso,Успех,Success
notification.collected.wishlist.material.notification,{0} {1}/{2},{0} {1}/{2},{0} {1}/{2},{0} {1}/{2},{0} {1}/{2},{0} {1}/{2},{0} {1}/{2},{0} {1}/{2}
notification.collected.wishlist.material.notification.horizons,{0}(+{1})\nStored: {2}\nWishlist(min-max): {3}-{4},,,,,,,{0}(+{1})\nStored: {2}\nWishlist(min-max): {3}-{4}
eddn.registration.text,"This app can share galaxy data, like starsystems and market information, with other 3rd party apps like eddb.io, spansh.co.uk and inara.cz over the ED Data Network","This app can share galaxy data, like starsystems and market information, with other 3rd party apps like eddb.io, spansh.co.uk and inara.cz over the ED Data Network","Diese App kann Galaxy -Daten wie StarSystems und Marktinformationen mit anderen Apps von Drittanbietern wie Eddb.io, Spansh.co.uk und Inara.cz über das ED -Data -Netzwerk teilen","Esta aplicación puede compartir datos de la galaxia, como sistemas estelares e información de mercados, con otras aplicaciones de terceros como Eddb.io, spansh.co.uk e inara.cz a través de la red de datos de ED (EDDN)","Cette application peut partager des données de la galaxie, comme les systèmes stellaires et les informations commerciales, avec d’autres applications tierces comme eddb.io, spansh.co.uk et inara.cz via le ED Data Network","Este aplicativo pode compartilhar dados de galáxias, como Starsystems e Informações de Mercado, com outros aplicativos de terceiros como Eddb.io, Spansh.co.uk e inara.cz sobre a ED Data Network","Это приложение может обмениваться данными Galaxy, такие как Starsystems и рыночная информация, с другими сторонними приложениями, такими как EDDB.IO, SPANSH.CO.UK и INARA.CZ через сеть данных ED","This app can share galaxy data, like starsystems and market information, with other 3rd party apps like eddb.io, spansh.co.uk and inara.cz over the ED Data Network"
eddn.registration.text2,Would you like to help the community and allow this app to automatically send this data anonymously through EDDN? (You can always disable/enable this later under Settings),Would you like to help the community and allow this app to automatically send this data anonymously through EDDN? (You can always disable/enable this later under Settings),"Möchten Sie der Community helfen und diese App erlauben, diese Daten automatisch über EDDN zu senden? (Sie können dies immer später unter Einstellungen deaktivieren/aktivieren)",¿Le gustaría ayudar a la comunidad y permitir que esta aplicación envíe automáticamente estos datos de forma anónima a través de EDDN? (Siempre puede deshabilitar/habilitar esto más adelante en Ajustes),Voulez-vous aider la communauté et permettre à cette application d’envoyer automatiquement ces données de manière anonyme via EDDN ? (Vous pourrez toujours désactiver/activer cette option plus tard dans les paramètres),Você gostaria de ajudar a comunidade e permitir que este aplicativo envie automaticamente esses dados anonimamente através do EDDN? (Você sempre pode desativar/ativar isso posteriormente em configurações),Хотели бы вы помочь сообществу и позволить этому приложению автоматически отправлять эти данные анонимно через EDDN? (Вы всегда можете отключить/включить это позже в соответствии с настройками),Would you like to help the community and allow this app to automatically send this data anonymously through EDDN? (You can always disable/enable this later under Settings)
eddn.registration.no,No,No,Nein,No,Non,Não,Нет,No
eddn.registration.yes,Yes,Yes,Ja,Sí,Oui,Sim,Да,Yes
version.dialog.text,A new version is available!,A new version is available!,Eine neue Version ist verfügbar!,¡Una nueva versión está disponible!,Une nouvelle version est disponible !,Uma nova versão está disponível!,Новая версия доступна!,A new version is available!
version.dialog.text2,Did you know that there is an auto updater available for this app?,Did you know that there is an auto updater available for this app?,"Wussten Sie, dass für diese App ein Auto-Updater verfügbar ist?",¿Sabía que hay un actualizador automático disponible para esta aplicación?,Saviez-vous que la mise à jour automatique est disponible pour cette application ?,Você sabia que há um atualizador automático disponível para este aplicativo?,"Знаете ли вы, что для этого приложения доступен автоматический обновленный обновление?",Did you know that there is an auto updater available for this app?
version.dialog.ok,Ok,Ok,OK,De acuerdo,D’accord,OK,Хорошо,Ok
version.dialog.download,Download,Download,Herunterladen,Descargar,Télécharger,Baixar,Скачать,Download
statusbar.api.stale,Fleetcarrier data might be stale! Link your Frontier account,Fleetcarrier data might be stale! Link your Frontier account,,Los datos de su Portanaves pueden estar obsoletos. Vincula tu cuenta de Frontier.,Les données du porte-vaisseaux sont peut-être obsolètes ! Associez votre compte Frontier.,Os dados do Porta-Frotas podem estar desatualizados! Vincule sua conta Frontier.,Данные о флотоносце могут быть устаревшими! Подключите аккаунт Frontier.,Fleetcarrier data might be stale! Link your Frontier account
segment.type.present,Present,,,Presente,Présent,Presente,Присутствует,Present
segment.type.not_present,Not present,,,No presente,Absent,Ausente,Не присутствует,Not present
segment.type.power_group_p,P,,,,,,,P
segment.type.power_group_1,1,,,,,,,1
segment.type.power_group_2,2,,,,,,,2
segment.type.power_group_3,3,,,,,,,3
segment.type.power_group_4,4,,,,,,,4
segment.type.power_group_5,5,,,,,,,5
segment.type.hardpoint_none,None,,,Ninguno,Aucun,,Отсутствует,None
segment.type.hardpoint_thermal,Thermal,,,Térmico,Thermique,,Термический,Thermal
segment.type.hardpoint_kinetic,Kinetic,,,Cinético,Cinétique,,Кинетический,Kinetic
segment.type.hardpoint_explosive,Explosive,,,Explosivo,Explosif,,Взрывной,Explosive
segment.type.hardpoint_absolute,Absolute,,,Absoluto,Absolu,,Абсолютный,Absolute
segment.type.hardpoint_caustic,Caustic,,,Caústico,Caustique,,Едкий,Caustic
segment.type.hardpoint_antixeno,Anti-xeno,,,Anti-Xeno,Anti-Xéno,,АИ,Anti-xeno
segment.type.power_group_none,Available,,,Disponible,Disponible,,Доступно,Available
segment.type.power_overpower,Power deficit,,,Déficit de Energía,Manque de puissance,,Энергодефицит,Power deficit
tabs.onfoot,On foot,,,A pie,Au sol,A pé,Пеший режим,On foot
tabs.ships,Ships,,,Naves,Vaisseaux,Naves,Корабельный режим,Ships
notification.type.hge,High grade emission,,,Señal de Alta Calidad,Émissions d’intensité élevée,Emissões de Alto Grau,Высокоуровневый сигнал,High grade emission
tabs.hge,HGE Tracker,,,Seguimiento de señales de Alta Calidad,Traqueur d’émissions d’intensité élevée,Buscador de Emissões de Alto Grau,Трекер ВУС,HGE Tracker
search.filter.chemicals,Chemicals,Chemicals,Chemikalien,Químicos,Produits chimiques,Produtos químicos,Химикаты,Chemicals
search.filter.consumer_items,Consumer Items,Consumer Items,Verbraucherartikel,Bienes de consumo,Biens de consommation,Itens de consumo,Потребительские товары,Consumer Items
search.filter.foods,Foods,Foods,Lebensmittel,Alimentos,Alimentation,Alimentos,Еда,Foods
search.filter.industrial_materials,Industrial Materials,Industrial Materials,Industriematerialien,Materiales industriales,Matériaux industriels,Materiais industriais,Промышленные материалы,Industrial Materials
search.filter.legal_drugs,Legal Drugs,Legal Drugs,Legale Drogen,Drogas legales,Drogues légales,Drogas legais,Легальные лекарства,Legal Drugs
search.filter.machinery,Machinery,Machinery,Maschinen,Maquinaria,Machines,Máquinas,Машины,Machinery
search.filter.medicines,Medicines,Medicines,Medikamente,Medicinas,Médicaments,Remédios,Лекарства,Medicines
search.filter.metals,Metals,Metals,Metalle,Metales,Métaux,Metais,Металлы,Metals
search.filter.minerals,Minerals,Minerals,Mineralien,Minerales,Minerais,Minerais,Минералы,Minerals
search.filter.nonmarketable,Nonmarketable,Nonmarketable,Nicht marketbar,No comercializado,Non négociable,Não -mercado,Не рыночный,Nonmarketable
search.filter.salvage,Salvage,Salvage,Bergung,Salvamento,Ferraille,Salvamento,Спасение,Salvage
search.filter.slavery,Slavery,Slavery,Sklaverei,Esclavismo,Esclavage,Escravidão,Рабство,Slavery
search.filter.technology,Technology,Technology,Technologie,Tecnología,Technologie,Tecnologia,Технологии,Technology
search.filter.textiles,Textiles,Textiles,Textilien,Textiles,Textiles,Têxteis,Ткани,Textiles
search.filter.waste,Waste,Waste,Abfall,Residuos,Déchets,Desperdício,Отходы,Waste
search.filter.weapons,Weapons,Weapons,Waffen,Armamento,Armes,Armas,Оружие,Weapons
search.filter.powerplay,Powerplay,,,,Luttes d’influence galactiques,,,Powerplay
notification.collected.powerplay.material.notification,{0}: {1},,,,,,,{0}: {1}
notification.type.powerplay_pickup,Powerplay Pickup,,,Recogída de Powerplay,Collecte luttes d’influence galactiques,,Взятие материала Powerplay,Powerplay Pickup
notification.type.ship_wishlist_pickup,Ship Wishlist Pickup,,,Recogída de Lista de Deseos de Naves,Collecte liste de souhaits du vaisseau,,Взятие материала для корабля,Ship Wishlist Pickup
search.filter.sold_at_station,Sold at current market,,,Vendido en mercado actual,,,Продано на данном рынке,Sold at current market
search.filter.bought_at_station,Bought at current market,,,Comprado en mercado actual,,,Куплено на данном рынке,Bought at current market
tabs.horizons.colonisation,Colonisation (WIP),,,Colonización (WIP),,,Колонизация (в разработке),Colonisation (WIP)
