messageKey,,en,de,es,fr,pt,ru,zh_CN
trade.request.status.cancelled,Status: Cancelled,Status: Cancelled,Status: Abgebrochen,Estado: Cancelado,Statut: Annulé,Status: Cancelado,Статус: Отменено,Status: Cancelled
trade.request.status.offline,Status: Offline,Status: Offline,Status: Offline,Estado: Fuera de línea,Statut: Hors ligne,Status: Offline,Статус: Не в сети,Status: Offline
trade.request.status.refused,Status: Refused,Status: Refused,Status: Abgelehnt,Estado: Rechazado,Statut: Refusé,Status: Recusado,Статус: отказано,Status: Refused
trade.request.status.removed,Status: Removed,Status: Removed,Status: Entfernt,Estado: Eliminado,Statut: Supprimé,Status: Removido,Статус: Удалено,Status: Removed
trade.request.status.unavailable,Status: Unavailable,Status: Unavailable,Status: Nicht verfügbar,Estado: No disponible,Statut: Non disponible,Status: Indisponível,Статус: недоступен,Status: Unavailable
trade.request.status.waiting.for.a.response,Status: Waiting for a response...,Status: Waiting for a response...,Status: Warte auf Antwort...,Estado: Esperando una respuesta...,Statut: En attente d’une réponse...,Status: Aguardando uma resposta...,Статус: Ожидание ответа...,Status: Waiting for a response...
trade.search.filter.active,Active trades,Active trades,Aktive Trades,Intercambios activos,Commerces actifs,Negociações ativas,Активные торги,Active trades
trade.search.filter.all,All (default),All (default),Alle (Standard),Todo (predeterminado),Tous (par défaut),All (padrão),Все (по умолчанию),All (default)
trade.search.filter.can_trade,Can trade,Can trade,Kann handeln,Puede comerciar,Peut commercer,Pode negociar,Можно торговать,Can trade
trade.search.filter.placeholder,Show trades,Show trades,Trades anzeigen,Mostrar intercambios,Afficher les transactions,Mostrar negociações,Показать сделки,Show trades
trade.search.sort.name_offer,Name material given(default),Name material given(default),Namensmaterial angegeben (Standard),Nombre del material proporcionado (predeterminado),Nom du matériel donné (par défaut),Nome do material fornecido (padrão),Указано название материала (по умолчанию),Name material given(default)
trade.search.sort.name_receive,Name material receive,Name material receive,Namensmaterial empfangen,Nombre del material recibido,Nom du matériel reçu,Nome material recebido,Получение именного материала,Name material receive
trade.search.sort.placeholder,Sort trades,Sort trades,Trades sortieren,Ordenar intercambios,Trier les transactions,Classificar negociações,Сортировка сделок,Sort trades
trade.search.sort.quantity_offer,Quantity material given,Quantity material given,Angegebene Materialmenge,Cantidad de material proporcionado,Quantité de matériel donnée,Quantidade de material fornecida,Количество предоставленного материала,Quantity material given
trade.search.sort.quantity_receive,Quantity material received,Quantity material received,Menge erhaltenes Material,Cantidad de material recibido,Quantité de matériel reçu,Quantidade de material recebido,Количество полученного материала,Quantity material received
trade.search.text.placeholder,Search,Search,Suche,Buscar,Rechercher,Pesquisa,Поиск,Search
trade.status.bid.accepted,Status: Bid accepted,Status: Bid accepted,Status: Gebot angenommen,Estado: Oferta aceptada,Statut: offre acceptée,Status: Lance aceito,Статус: Ставка принята,Status: Bid accepted
trade.status.received.a.bid,Status: Received a bid,Status: Received a bid,Status: Gebot erhalten,Estado: Recibió una oferta,Statut: a reçu une offre,Status: Recebeu um lance,Статус: Получено предложение,Status: Received a bid
trade.status.waiting.for.bids,Status: Waiting for bids...,Status: Waiting for bids...,Status: Warte auf Gebote...,Estado: Esperando ofertas...,Statut: En attente des offres...,Status: Aguardando lances...,Статус: Ожидание ставок...,Status: Waiting for bids...
notification.trade.your.bid.is.placed,Your bid is placed. (Auto rejects in 1 minute),Your bid is placed. (Auto rejects in 1 minute),Ihr Gebot ist abgegeben. (Auto lehnt in 1 Minute ab),Su oferta se realiza. (Auto rechaza en 1 minuto),Votre offre est placée. (Auto rejette en 1 minute),Sua oferta é feita. (Rejeita automaticamente em 1 minuto),Ваша ставка размещена. (Автоотмена через 1 минуту),Your bid is placed. (Auto rejects in 1 minute)
